"ID","Gender_MF","Gender","PCG_IRE","SCG_IRE","SCB_IRE","SCC_IRE","PCG_Educ","SCG_Educ","PCG_father_educ","PCG_mother_educ","SCG_father_educ","SCG_mother_educ","Agreeable_W3_YP","Extravert_W3_YP","Openness_W3_YP","Emo_Stability_W3_YP","Conscientious_W3_YP","Agreeable_W2_PCG","Extravert_W2_PCG","Openness_W2_PCG","Emo_Stability_W2_PCG","Conscientious_W2_PCG","Agreeable_W3_PCG","Extravert_W3_PCG","Openness_W3_PCG","Emo_Stability_W3_PCG","Conscientious_W3_PCG","Agreeable_W3_SCG","Extravert_W3_SCG","Openness_W3_SCG","Emo_Stability_W3_SCG","Conscientious_W3_SCG","English","Maths","Irish","History","French","Spanish","German","Arts_Craft_Design","Music","Home_Econ","Metalwork","Mater_Tech","Technology","Tech_Graphs","Business","Religious_Ed","CSPE","Science","Geography","Discussed_exams","Discussed_friends","Discussed_future","Discussed_teachers","Discussed_workload","Discussed_subjects","PCG_future_educ","SCG_future_educ","DEIS_binary","Progress_to_HEI","School_Type","Grinds","Gender_MF_2","History_Grade","English_Grade","Maths_Grade","Irish_Grade","PH_beha_W1","PH_intell_W1","PH_phys_W1","PH_free_anx_W1","PH_pop_W1","PH_happi_W1","PH_beha_W2","PH_intell_W2","PH_phys_W2","PH_free_anx_W2","PH_pop_W2","PH_happi_W2","TC_reading","TC_writing","TC_comprehension","TC_maths","TC_imagin_creat","TC_oral_comm","TC_prob_solving","Discussed_subjects_PCG","Discussed_workload_PCG","Discussed_teachers_PCG","Discussed_future_PCG","Discussed_friends_PCG","Discussed_exams_PCG","Discussed_subjects_YP","Discussed_workload_YP","Discussed_teachers_YP","Discussed_future_YP","Discussed_friends_YP","Discussed_exams_YP"
2013000,1,1,1,NA,1,1,3,NA,1,2,NA,NA,6,4.5,5.5,5.5,6.5,7,1.5,3,1,1.5,7,4,6.5,5,6.5,NA,NA,NA,NA,NA,3,4,3,1,NA,NA,NA,NA,NA,NA,3,3,NA,3,NA,NA,NA,3,3,5,1,4,5,5,5,5,NA,NA,NA,NA,2,"Male","E or lower","C","B","C",12,13,9,12,6,9,13,10,10,12,9,9,1,1,1,2,1,2,1,5,5,5,4,1,5,4,4,4,3,4,5
2014000,1,1,0,1,1,1,3,5,1,1,1,1,4.5,5.5,6.5,6,6,1.5,7,7,6.5,7,6.5,6.5,7,4,6,6,5,7,7,6.5,3,4,3,4,NA,4,NA,4,NA,NA,NA,NA,NA,NA,2,1,3,4,4,3,4,5,3,4,4,6,6,1,NA,5,1,"Male","B","C","B","C",12,15,9,13,9,10,14,12,10,10,11,9,2,2,2,2,3,2,2,4,4,3,5,4,3,5,5,5,4,5,5
2017000,1,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,2,2,5.5,4,6,7,3,4.5,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,4,3,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,NA,3,4,4,NA,NA,NA,NA,NA,NA,NA,NA,0,6,3,1,"Male","C","B","C","B",12,10,3,11,7,10,14,11,4,7,4,5,3,2,3,2,3,2,3,NA,NA,NA,NA,NA,NA,5,5,5,5,4,2
2018000,1,1,1,1,1,1,6,6,3,4,4,3,4,5,5.5,5.5,5.5,3,3,7,3,3.5,2.5,3,4.5,6,6,3,1.5,4.5,3.5,5.5,5,4,5,5,4,NA,NA,NA,NA,NA,NA,3,NA,4,NA,NA,3,NA,5,3,2,3,2,3,3,6,5,0,6,3,2,"Male","A","A","B","A",11,14,5,10,8,8,12,12,11,13,12,8,3,3,3,2,2,2,2,3,3,2,3,2,3,4,3,3,3,2,4
2019000,1,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,5,3.5,5,6,4.5,5.5,1.5,3.5,3,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,5,5,NA,NA,3,NA,NA,NA,NA,3,NA,4,NA,NA,3,4,5,NA,NA,NA,NA,NA,NA,NA,NA,0,6,3,2,"Male","A","A","B","A",12,11,5,6,2,7,12,10,7,14,12,10,3,3,3,3,3,3,3,NA,NA,NA,NA,NA,NA,3,4,2,2,2,3
2021000,1,1,1,NA,1,1,2,NA,1,1,NA,NA,3.5,5,6.5,5.5,6,3.5,0.5,3.5,3,3.5,5,5,7,7,4.5,NA,NA,NA,NA,NA,2,2,3,3,4,NA,NA,2,NA,NA,NA,2,NA,3,NA,NA,2,3,2,5,5,5,5,5,5,6,NA,1,5,5,2,"Male","C","D","D","C",11,11,7,13,8,8,14,16,11,14,11,10,2,2,3,3,3,3,3,5,5,5,5,5,5,1,4,3,4,3,4
2022000,1,1,1,1,1,1,3,4,1,1,1,4,4,6,5.5,5,6,1.5,3.5,5,3,7,5.5,4.5,5.5,5.5,7,6,3.5,4,6.5,6.5,3,4,4,2,2,NA,NA,NA,NA,NA,3,3,NA,3,NA,NA,3,2,2,4,3,5,4,4,4,5,4,1,5,3,1,"Male","D","C","B","B",8,7,4,14,7,9,14,13,9,14,12,9,3,3,3,3,3,3,2,4,4,4,5,3,4,2,3,3,2,3,4
2023000,1,1,1,NA,1,1,3,NA,1,1,NA,NA,4.5,5.5,5.5,5,6.5,5,3.5,4.5,3,3.5,6.5,2,4,4,2,NA,NA,NA,NA,NA,4,2,3,5,3,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,3,3,3,2,3,2,4,4,4,4,NA,0,6,5,1,"Male","A","B","D","C",11,12,7,9,9,10,11,14,11,14,11,10,2,2,2,2,2,2,2,4,4,4,2,3,2,4,4,4,4,2,5
2024000,1,1,1,1,1,1,5,6,1,2,1,1,4.5,3,3.5,4,4,5,7,7,2,2.5,4.5,4,5.5,5.5,4.5,2.5,4.5,4,5.5,3,4,2,4,4,3,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,4,3,3,5,4,4,5,5,5,5,6,0,6,5,1,"Male","B","B","D","B",12,15,10,11,10,9,12,15,11,9,11,10,3,1,3,3,2,2,2,5,5,5,4,4,5,4,4,3,5,2,4
2025000,1,1,1,1,1,1,3,5,3,4,3,1,6,5.5,4,7,6,3.5,1,3,2.5,4.5,7,5.5,NA,5,7,6.5,3.5,6.5,6.5,4.5,4,4,4,4,NA,3,NA,NA,3,4,NA,NA,NA,NA,NA,NA,3,5,4,2,2,2,2,1,3,5,5,0,6,5,1,"Male","B","B","B","B",12,12,7,9,3,8,14,14,7,14,12,8,3,2,3,2,2,3,3,3,1,2,2,2,2,4,4,4,3,2,3
